Model,ave_MAE,ave_RMSE,ave_SD,Adjusted MAE (kg CO₂e),Norm. Adjusted MAE,Adjusted RMSE (kg CO₂e),Norm. Adjusted RMSE,Norm. RMSE,Avg_Time,Avg_Cost,total_count,S_adj,S_rmse,S_err,Norm_Time,Norm_Cost,Efficiency,Final_Score,Rank
gpt-5.4,17.640200000000004,23.33158050185125,20.02537087808624,23.647811263425876,1.5748762888998364,24.15933297236649,1.510655839458299,1.5034784709241953,12.541566666666666,0.016186916666666665,60,1.0,1.0,1.0,0.13343229314792146,0.03259010626693842,3.581124556887901,0.8216443492855352,1
grok-4-1-fast-non-reasoning,26.408033333333336,29.219313682090586,22.258102048426917,33.085463947861406,2.0982202261846705,30.052667087760682,2.02423648620711,2.0164116330151254,1.9945666666666666,0.0005275333333333333,60,0.7505772126521654,0.7462842655746844,0.748860033821173,0.8390042950015013,1.0,0.027786543295231187,0.7749386713071637,2
claude-haiku-4-5,72.43136666666665,73.58919662362977,7.618127312878465,74.7168048605302,2.66648939528703,73.75514989139292,2.580085076687809,2.554322443449902,2.8577666666666666,0.0047775833333333325,60,0.5906178707043839,0.585506211833147,0.5885732071558891,0.5855796484435682,0.11041844744858766,0.9889212679092813,0.5642164353636759,3
gemini-2.5-flash,31.918537499999996,34.228569032792656,15.774655958239245,36.65093428747176,2.4663652585013165,34.60547116937459,2.375422134873521,2.3641763972273724,20.363116666666667,0.001866625,60,0.6385413853328316,0.6359525817667341,0.6375058639063926,0.08218044552778438,0.2826134515774298,1.2132332704538773,0.5364624305331532,4
grok-4-1-fast-reasoning,43.96386666666666,48.41550336466222,23.715622639842874,51.078553458619524,2.541829965305745,49.01427710173851,2.449633647383969,2.4249208255886603,35.279983333333334,0.0022848833333333333,60,0.6195836505180166,0.616686434345786,0.6184247640491243,0.047433412430777394,0.23087976808551286,3.5439556890796955,0.5133988115081917,5
gemini-2.5-flash-lite,73.13528333333333,80.9422234499276,36.46362887102009,84.07437199463936,5.135650873983181,81.71437767130202,4.9295614559960335,4.898529582850068,1.67345,0.0005416866666666667,60,0.30665563675263324,0.30644832262340865,0.3065727111009434,1.0,0.9738717340149807,0.0662960777074715,0.44395175558150374,6
claude-opus-4-6,23.807199999999995,24.147661803619183,9.651615904823785,26.702684771447128,3.6362669115596824,24.400212093908227,3.522942177435825,3.5173143805704465,6.0598,0.024276250000000003,60,0.43310249968006365,0.42880517572343513,0.43138357009741224,0.2761559787452926,0.02173042930071996,3.5022586164322,0.38761677435475966,7
gemini-3.1-pro-preview,21.626366666666666,29.313992152735846,25.95519141927802,29.41292409245007,3.4146585828463443,30.42622122374064,3.295879893053442,3.2817778597970495,25.49785,0.0192454,60,0.4612104697119123,0.45834675063335073,0.4600649820804877,0.06563102379223874,0.027410879187022483,10.61241111732435,0.3792671831925771,8
grok-4.20-0309-reasoning,35.9462,38.5954675531092,16.279476755264085,40.83004302657922,3.6314583963660088,38.98379728707185,3.506807689496212,3.4989210569821982,14.4358,0.0181127,60,0.4336759827611897,0.43077806746679315,0.4325168166434311,0.11592360658923538,0.029125052272947066,9.39890017103129,0.3648582469167776,9
gpt-4o,42.84486666666666,47.82168960299851,27.209355185104922,51.00767322219814,4.241775315938886,48.61303067169393,4.10541090940086,4.068919484397899,5.4298166666666665,0.0109465,60,0.3712776306144065,0.36796702517638963,0.3699533884391998,0.3081964093325481,0.04819196403280879,2.5465912544312888,0.3446017703528825,10
claude-sonnet-4-6,48.970866666666666,52.16817268223523,22.98516066780815,55.866414867009105,4.796787699028801,52.80590138883526,4.613115216577753,4.601377347536337,5.822333333333333,0.014697,60,0.328318947536363,0.32746978311537905,0.3279792817679694,0.28741913322277085,0.03589394667601819,4.190477853398599,0.30729099273159205,11
gpt-4o-mini,97.66986666666666,111.68744273390676,53.88772779953368,113.83618500652676,16.123911773815667,112.9899690239089,16.48324990310589,16.215541562877032,6.949066666666667,0.01673761,60,0.09767333826883438,0.0916479364408932,0.0952631775376579,0.24081651252936978,0.03151784121519234,11.36005717615185,0.1139089109702914,12
